"ID","Area","Feature","User Story","Expected Behavior","Code Refs","Test Status","Error / Notes"
"SHE-01","Shell & Nav","App boot state machine","As a launcher user, I want the app to prepare everything it needs before showing me the UI, so that the interface is fully functional the moment it appears.","On mount, bootstrap transitions splash → bootstrap → ready. It fetches build info and all settings in parallel and seeds the query cache, then best-effort fetches the mod manifest index (offline failure is swallowed so the launcher still opens) and the Steam persona name (failure falls back to greeting 'Player'). Only after these complete does the phase become 'ready'.","C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/shell/useBootstrap.ts:20-49 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/shell/useBootstrap.ts:32-47","PASS","useBootstrap.ts:21-49 matches spec: bootstrap phase set, Promise.all fetches buildInfo+settings in parallel and seeds cache, manifest.getIndex(false) and getSteamPersonaName each wrapped in swallowing try/catch, then phase set 'ready' only after all complete. [+ executable component test: useBootstrap.test.ts (2026-06-22)]"
"SHE-02","Shell & Nav","Animated branded startup splash","As a user, I want a branded welcome screen while the app loads, so that the wait feels intentional.","The splash shows the BAPBAP horizontal wordmark logo (animated in) and a three-dot pulsing loading indicator on the plain app background (no neon backdrop spots). No personalized greeting or Steam persona name. The splash stays visible until the app is ready AND a minimum time has elapsed (600ms with reduced motion, 3200ms otherwise), then fades/scales out. Reduced-motion disables the entrance and dot animations.","C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/shell/StartupSplash.tsx ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/shell/AppShell.tsx:51-55","FIXED (re-verified)","2026-06-23 round: user disliked the 'weird neon thing' on the splash, so removed the .splash-spot magenta/purple/cyan blobs (+ their CSS) leaving the wordmark + 3-dot loader on bg-background (matches the rest of the app). Bumped min display 1800->3200ms (600ms reduced) since the app felt laggy the first 2-3s. Typecheck + full suite green (835)."
"SHE-03","Shell & Nav","Fatal startup error screen with retry","As a user, I want to see a clear error and a way to recover if the launcher fails to start, so that I'm not stuck on a blank screen.","If bootstrap throws, the error is reported to the main process as a 'V4_BOOTSTRAP_FAILED' startup-fatal diagnostic (with stack as context when available) and the phase becomes 'fatal'. The shell then renders a 'Startup failed' screen showing the error message (or 'Unknown error') and a Retry button that reloads the window.","C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/shell/useBootstrap.ts:50-61 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/shell/AppShell.tsx:29-39 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/shell/AppShell.tsx:54","PASS","useBootstrap.ts:50-61 reports reportStartupFatal with code 'V4_BOOTSTRAP_FAILED', message, and stack as context when present, then setFatal sets phase 'fatal'. AppShell.tsx:54 renders Fatal with fatalMessage ?? 'Unknown error'; Fatal (29-39) shows 'Startup failed' and Retry button calling location.reload(). [+ executable component test: useBootstrap.test.ts (2026-06-22)]"
"SHE-04","Shell & Nav","First-run setup wizard","As a first-time user, I want a short guided setup to pick my instances folder and toggle a couple of preferences, so that the launcher is configured before I start modding.","The wizard shows as a modal dialog only when onboarding hasn't been completed or the completed setup version is older than CURRENT_SETUP_VERSION. It lets the user choose an instances folder (via a native directory picker, defaulting to the current setting), toggle Automatic updates (default on), and toggle Motion & effects (default on). 'Get started' persists each choice as a setting — instancesRoot only if changed — plus launcherAutoUpdate, uiMotionEnabled, uiOnboardingCompleted=true, and setupVersionCompleted, and the button is disabled while finishing.","C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/shell/SetupWizard.tsx:28-30 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/shell/SetupWizard.tsx:34-52 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/shell/SetupWizard.tsx:67-99","PASS","SetupWizard.tsx:28-29 gates on !uiOnboardingCompleted || setupVersionCompleted<CURRENT. finish() (39-52) writes instancesRoot only when changed, plus launcherAutoUpdate, uiMotionEnabled, uiOnboardingCompleted=true, setupVersionCompleted; defaults true; button disabled while finishing. Dialog auto-closes via optimistic settings update. [+ executable component test: SetupWizard.test.tsx (2026-06-22)]"
"SHE-05","Shell & Nav","Top-nav workspace switching","As a user, I want a floating navigation bar to switch between the main areas of the launcher, so that I can move between Start, Instances, Mods, Radio, Tools, and Settings.","A centered floating nav shows the BAPBAP logo plus six buttons: Start (launch), Instances, Mods, Radio, Tools, Settings. Clicking a button sets the active workspace, which lazy-loads and renders the corresponding workspace in the main area with an enter animation. The active item is highlighted with an animated sliding pill. Labels are hidden on narrow widths (icon-only below the sm breakpoint).","C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/shell/TopNav.tsx:11-18 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/shell/TopNav.tsx:41-64 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/shell/AppShell.tsx:12-19 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/shell/AppShell.tsx:86-98","PASS","TopNav.tsx:11-18 defines six items Start(launch)/Instances/Mods/Radio/Tools/Settings plus logo; onClick setActiveWorkspace; active sliding pill via layoutId='nav-active-pill'; labels 'hidden sm:inline'. AppShell.tsx:12-19,88-96 lazy-loads workspace with keyed enter animation."
"SHE-06","Shell & Nav","Auto-hiding navigation bar","As a user, I want the nav bar to get out of the way when I scroll down and come back when I need it, so that content stays unobstructed without losing quick access.","The nav is visible at rest. Scrolling down (within any nested scroll container, captured globally) past 8px hides it by sliding it up and fading it out; scrolling up reveals it, as does scrolling back to the top. Moving the pointer within 90px of the top edge also reveals it. Transitions are spring-animated unless reduced motion is set, in which case they are instant.","C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/shell/useNavVisibility.ts:9-39 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/shell/TopNav.tsx:24-35","PASS","useNavVisibility.ts:13-37 listens scroll in capture phase (catches nested containers), shows at top<=8, hides on scroll-down (top>prev+4), reveals on scroll-up, and pointermove within 90px reveals. TopNav.tsx:31-35 animates y/-80+opacity with spring, instant when reduceMotion."
"SHE-07","Shell & Nav","Skip-to-content accessibility link","As a keyboard or screen-reader user, I want to jump straight to the main content, so that I can bypass the navigation chrome.","A visually hidden 'Skip to content' link is the first focusable element; on focus it becomes visible in the top-left and links to #main-content. The main region carries id 'main-content' and tabIndex -1 so it can receive focus when the link is activated.","C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/shell/AppShell.tsx:77-82 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/shell/AppShell.tsx:86","PASS","AppShell.tsx:77-82 renders sr-only 'Skip to content' anchor (first focusable in ready tree) that becomes visible top-left on focus and targets #main-content; main (86) has id='main-content' and tabIndex={-1}."
"SHE-08","Shell & Nav","Launcher self-update banner","As a user, I want to be told when a launcher update is available and be able to install it or dismiss the notice, so that I can stay current on my own terms.","A floating banner appears only when not dismissed and the updater state warrants it. It shows a title derived from the updater state and, while downloading, a progress bar (progressPercent) with progress text. A primary action button (label/disabled derived from state) triggers download-and-install when present. A dismiss (X) button hides the banner for the session. The banner is suppressed once dismissed.","C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/shell/UpdateBanner.tsx:14-25 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/shell/UpdateBanner.tsx:34-58","PASS","UpdateBanner.tsx:19 hides when dismissed or !shouldShow; title/action/progress derived from state via helpers; downloading shows Progress(progressPercent??0)+text; action button (41-50) disabled per state, onClick downloadAndInstall.mutate(false); X dismiss sets session flag. helpers consistent across available/downloading/readyToInstall/installing. [+ executable component test: UpdateBanner.test.tsx (2026-06-22)]"
"SHE-09","Shell & Nav","Reduced-motion / calm mode support","As a motion-sensitive user, I want animations to be minimized when I prefer reduced motion, so that the launcher is comfortable to use.","When the OS/user reduced-motion preference is detected, splash exit uses opacity-only (no scale), the splash minimum display drops to 400ms, nav show/hide and active-pill transitions are instant, the splash greeting characters skip their entrance animation, and the workspace enter animation is skipped.","C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/shell/AppShell.tsx:45-52 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/shell/AppShell.tsx:67 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/shell/TopNav.tsx:35 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/shell/StartupSplash.tsx:21-38","PASS","Reduced-motion paths all correct: AppShell.tsx:50 minTime 400, :67 opacity-only exit, :91 workspace enter skipped; TopNav.tsx:35,57 nav+pill transitions instant; StartupSplash.tsx:36 chars skip entrance. Note: shell uses OS useReducedMotion only; the uiMotionEnabled setting is not wired here, but that is SET-10 scope, not SHE-09."
"INS-01","Instances","View installed profiles grid","As a player, I want to see all my installed profiles in one place, so that I can tell at a glance what I have and pick one to manage.","The 'Your profiles' section lists every detected instance as a card showing profile name and game version, with a live count badge. While loading it shows 'Loading instances…'; if none exist it shows an empty card prompting the player to pick a mode above. Each card's cover art (or a Layers/Package fallback icon) is tinted by track accent (amber=bundle, cyan=boss-rush, pink=standard); clicking a card switches to the Launch workspace.","src/renderer/app/workspaces/InstancesWorkspace.tsx:368 ; src/renderer/app/workspaces/InstancesWorkspace.tsx:376 ; src/renderer/app/workspaces/InstancesWorkspace.tsx:388 ; src/renderer/app/workspaces/InstancesWorkspace.tsx:393 ; src/main/services/core/instance.service.ts:63","PASS","InstancesWorkspace.tsx:368-424 shows count badge (372), 'Loading instances…' (376), empty card (377-381), Layers/Package fallback (403-407), accent by track (390), click→launch (393). Accent tint relies on .bap-spine CSS var but logic is correct."
